Mon_RX_TIME;BSR_OR_ACK_SOURCE;BSR_OR_ACK_TIMESTAMP;BSR_OR_ACK_SEQNO;TYPE;BUNDLE_X_SOURCE;BUNDLE_X_TIMESTAMP;BUNDLE_X_SEQNO;FRAG_OFFSET;FRAG_LENGTH;DELIVERED_TIMESTAMP;CUSTODY_ACCEPTED_TIMESTAMP;RECEIVED_TIMESTAMP;FORWARDED_TIMESTAMP;DELETED_TIMESTAMP;REASON;
0.0;ipn:1.0;411498643;2;STATUS_REPORT;ipn:1.13948;411498643;1;0;0;411498643;0; ; ; ;no additional information;
0.200846;ipn:1.0;411498643;4;STATUS_REPORT;ipn:1.13948;411498643;3;0;0;411498643;0; ; ; ;no additional information;
0.400779;ipn:1.0;411498643;6;STATUS_REPORT;ipn:1.13948;411498643;5;0;0;411498643;0; ; ; ;no additional information;
0.600058;ipn:1.0;411498644;2;STATUS_REPORT;ipn:1.13948;411498644;1;0;0;411498644;0; ; ; ;no additional information;
0.802801;ipn:1.0;411498644;4;STATUS_REPORT;ipn:1.13948;411498644;3;0;0;411498644;0; ; ; ;no additional information;
0.981858;ipn:1.0;411498644;6;STATUS_REPORT;ipn:1.13948;411498644;5;0;0;411498644;0; ; ; ;no additional information;
1.182656;ipn:1.0;411498644;8;STATUS_REPORT;ipn:1.13948;411498644;7;0;0;411498644;0; ; ; ;no additional information;
1.393397;ipn:1.0;411498644;10;STATUS_REPORT;ipn:1.13948;411498644;9;0;0;411498644;0; ; ; ;no additional information;
1.614997;ipn:1.13948;411498645;2;CLIENT_STOP;
1.621361;ipn:1.0;411498645;3;STATUS_REPORT;ipn:1.13948;411498645;1;0;0;411498645;0; ; ; ;no additional information;
